global_step,loss,training_accuracy,validation_accuracy
0,9.477243699741836,0.325,0.4
1,4.3087707625060006,0.4,0.3
2,3.1006360313690893,0.38333333333333336,0.3
3,3.179528039114795,0.5083333333333333,0.4666666666666667
4,2.468440811073823,0.5,0.4666666666666667
5,1.9536852003658858,0.4666666666666667,0.5333333333333333
6,1.6171474038488018,0.39166666666666666,0.5333333333333333
7,1.703012326005425,0.5583333333333333,0.4
8,1.1952789267747013,0.45,0.5333333333333333
9,1.449328869225225,0.625,0.5333333333333333
10,1.3921637432059826,0.6,0.6
11,1.0976989746554413,0.575,0.4
12,1.135156040901537,0.5833333333333334,0.43333333333333335
13,1.1216183372179296,0.575,0.6
14,0.8941714236698299,0.525,0.6333333333333333
15,0.8421811253175873,0.6166666666666667,0.6333333333333333
16,0.8863040100477825,0.5916666666666667,0.4666666666666667
17,0.9280592148564674,0.6166666666666667,0.6666666666666666
18,0.846067159938637,0.6166666666666667,0.5666666666666667
19,0.7229984324713694,0.7,0.5
20,0.9251307281467425,0.65,0.43333333333333335
21,0.8674387796996579,0.5916666666666667,0.5333333333333333
22,0.8668425263351326,0.5916666666666667,0.4666666666666667
23,0.8509263742879721,0.5333333333333333,0.5
24,0.8161683402227966,0.6083333333333333,0.4666666666666667
25,0.8188414121997545,0.6083333333333333,0.5666666666666667
26,0.8521372591270752,0.5916666666666667,0.6666666666666666
27,0.9145313713356454,0.6583333333333333,0.6
28,0.8121065630303198,0.5333333333333333,0.6666666666666666
29,0.7830053038678721,0.5833333333333334,0.6333333333333333
30,0.8258326367464985,0.625,0.4666666666666667
31,0.8498624536530984,0.5916666666666667,0.5333333333333333
32,0.7827565585843421,0.575,0.6
33,0.7296508909329582,0.6166666666666667,0.6
34,0.8662373487734478,0.6916666666666667,0.6333333333333333
35,0.8459463937975161,0.575,0.5666666666666667
36,0.8042372812322708,0.5916666666666667,0.6333333333333333
37,0.864550915522573,0.5666666666666667,0.6666666666666666
38,0.7815703891937437,0.6166666666666667,0.6333333333333333
39,0.7693923290928233,0.5916666666666667,0.5333333333333333
40,0.776656983051671,0.6166666666666667,0.6333333333333333
41,0.6994155438317422,0.5583333333333333,0.5
42,0.7875181266089671,0.6166666666666667,0.5333333333333333
43,0.871157982433967,0.55,0.5
44,0.8095534057762348,0.6083333333333333,0.6333333333333333
45,0.8663892752380596,0.6166666666666667,0.5
46,0.7568959261829689,0.625,0.6333333333333333
47,0.7752553519147375,0.575,0.6666666666666666
48,0.7903495329670652,0.6666666666666666,0.5333333333333333
49,0.7830055544509537,0.5916666666666667,0.5666666666666667
50,0.775176074018624,0.5416666666666666,0.5333333333333333
51,0.7267832882726701,0.7,0.5
52,0.6908419960237384,0.5583333333333333,0.5
53,0.7747173278987738,0.7083333333333334,0.6666666666666666
54,0.7882251290321769,0.6083333333333333,0.5666666666666667
55,0.7411767469215458,0.625,0.4666666666666667
56,0.7488355065319375,0.7,0.6
57,0.7615943222492899,0.65,0.5
58,0.8102667854687143,0.625,0.5333333333333333
59,0.7045650387990404,0.65,0.5666666666666667
60,0.789673663175541,0.65,0.6
61,0.7183914405361768,0.6333333333333333,0.6333333333333333
62,0.7407213990767189,0.6416666666666667,0.5
63,0.7075054685433844,0.7,0.7666666666666667
64,0.720401510177764,0.5833333333333334,0.7
65,0.7455438642823287,0.675,0.6
66,0.7333665267084274,0.6416666666666667,0.7
67,0.6696922287250416,0.6166666666666667,0.7
68,0.7197178917725797,0.6583333333333333,0.5666666666666667
69,0.7366568505188388,0.65,0.5
70,0.7200836548460913,0.6666666666666666,0.5
71,0.7634617082008399,0.6083333333333333,0.5
72,0.7179590819384642,0.5666666666666667,0.5
73,0.7501693134925794,0.6666666666666666,0.5666666666666667
74,0.6971563124767829,0.6166666666666667,0.6666666666666666
75,0.6912534187587652,0.6166666666666667,0.6
76,0.7065255161083879,0.6083333333333333,0.6
77,0.6883776141755116,0.5833333333333334,0.7333333333333333
78,0.7403495732312403,0.7,0.7333333333333333
79,0.7124306385370055,0.6,0.6
80,0.6959666754710274,0.6583333333333333,0.7666666666666667
81,0.6542767024761882,0.6416666666666667,0.6
82,0.7598791005259393,0.6666666666666666,0.7333333333333333
83,0.7747548157487258,0.6833333333333333,0.7
84,0.6772543516248202,0.6416666666666667,0.5
85,0.6994705076499522,0.7083333333333334,0.6666666666666666
86,0.700811784860109,0.6666666666666666,0.43333333333333335
87,0.6952765687903105,0.625,0.6333333333333333
88,0.6757182519974604,0.6583333333333333,0.7333333333333333
89,0.6275204676797723,0.675,0.5
90,0.6582605638782332,0.675,0.7666666666666667
91,0.6991842905989043,0.6833333333333333,0.4
92,0.6051759810403259,0.6083333333333333,0.7333333333333333
93,0.7107748907313317,0.75,0.7333333333333333
94,0.6993676086750198,0.6833333333333333,0.7
95,0.6719627369822224,0.6583333333333333,0.8333333333333334
96,0.6434628338863445,0.5916666666666667,0.6666666666666666
97,0.7579225722741333,0.7416666666666667,0.6666666666666666
98,0.6763791853332327,0.6916666666666667,0.6333333333333333
99,0.6909084021571614,0.625,0.7666666666666667
100,0.7558948179885474,0.65,0.7333333333333333
101,0.701262010152275,0.6916666666666667,0.6666666666666666
102,0.6641760416323905,0.6666666666666666,0.7333333333333333
103,0.7095155014698025,0.7166666666666667,0.6333333333333333
104,0.6203403825490241,0.625,0.4666666666666667
105,0.6997747351295016,0.6833333333333333,0.7666666666666667
106,0.583847087231859,0.6583333333333333,0.7666666666666667
107,0.6103199701885449,0.725,0.7333333333333333
108,0.6473228534423315,0.675,0.8
109,0.6521358073288533,0.6083333333333333,0.6333333333333333
110,0.6949124322536043,0.7,0.5
111,0.6251017709846747,0.65,0.6666666666666666
112,0.65728836085697,0.6166666666666667,0.43333333333333335
113,0.705997779845852,0.6,0.5666666666666667
114,0.6781332489336286,0.675,0.5
