global_step,loss,training_accuracy,validation_accuracy
0,2.335000224075352,0.6416666666666667,0.7
1,1.3427131440374498,0.6583333333333333,0.7
2,1.2623599970492227,0.6916666666666667,0.7
3,0.9699881552190458,0.7666666666666667,0.7666666666666667
4,0.8199759771247888,0.7916666666666666,0.8666666666666667
5,0.8737001925925214,0.8083333333333333,0.8666666666666667
6,0.7342546477030161,0.8333333333333334,0.8666666666666667
7,0.6825141413521595,0.8333333333333334,0.8666666666666667
8,0.6706221263332471,0.8166666666666667,0.9
9,0.6580160310107039,0.8416666666666667,0.9
10,0.6199977536725734,0.8333333333333334,0.9
11,0.5172865014004537,0.8333333333333334,0.9
12,0.7181962823606933,0.825,0.9
13,0.5408357264213595,0.875,0.9
14,0.6092174780996548,0.8833333333333333,0.9
15,0.6629615066114636,0.8833333333333333,0.9
16,0.5909479286215468,0.8833333333333333,0.9
17,0.46124957077923817,0.8833333333333333,0.9
18,0.550205001076799,0.8833333333333333,0.9
19,0.4598272988938467,0.8833333333333333,0.9
20,0.45021658460585384,0.8833333333333333,0.9
21,0.5006368076902582,0.8833333333333333,0.9
22,0.5011455402136645,0.8833333333333333,0.9333333333333333
23,0.5099712285992968,0.8833333333333333,0.9333333333333333
24,0.4251782489961323,0.8833333333333333,0.9
25,0.46647285973724356,0.8833333333333333,0.9333333333333333
26,0.414145322079256,0.8833333333333333,0.9333333333333333
27,0.5272488303902796,0.8833333333333333,0.9333333333333333
28,0.46596621838150387,0.8916666666666667,0.9333333333333333
29,0.4239776773694654,0.8833333333333333,0.9333333333333333
30,0.44000079912197076,0.9,0.9333333333333333
31,0.4234885674125427,0.8916666666666667,0.9333333333333333
32,0.5214144896884182,0.8916666666666667,0.9
33,0.40525985302139583,0.8916666666666667,0.9333333333333333
34,0.4299638233609161,0.8916666666666667,0.9333333333333333
35,0.47827242100163697,0.8916666666666667,0.9333333333333333
36,0.43634421125582473,0.8916666666666667,0.9333333333333333
37,0.37538866719291647,0.9,0.9333333333333333
38,0.4261631770894103,0.9,0.9333333333333333
39,0.45431361531618464,0.9083333333333333,0.9666666666666667
40,0.3114767198829298,0.9166666666666666,0.9666666666666667
41,0.37433443359128427,0.9166666666666666,0.9666666666666667
42,0.3368169863190515,0.9166666666666666,0.9666666666666667
43,0.38579931947730195,0.9166666666666666,0.9666666666666667
44,0.3940776548570408,0.9166666666666666,0.9666666666666667
45,0.3278745976118758,0.9166666666666666,0.9666666666666667
46,0.3717686369020899,0.9166666666666666,0.9666666666666667
47,0.3418030906997098,0.925,0.9666666666666667
48,0.3655653114360897,0.925,0.9666666666666667
49,0.4028110224345729,0.925,0.9666666666666667
50,0.3634236928129948,0.9416666666666667,0.9666666666666667
51,0.3391658461276353,0.95,0.9666666666666667
52,0.31901020356713333,0.9416666666666667,0.9666666666666667
53,0.3487617160268439,0.9416666666666667,0.9666666666666667
54,0.34076793911930564,0.9416666666666667,0.9666666666666667
55,0.30752851993701574,0.9416666666666667,0.9666666666666667
56,0.3169115675772502,0.95,0.9666666666666667
57,0.2807726867342118,0.95,0.9666666666666667
58,0.42725329227395614,0.9416666666666667,0.9666666666666667
59,0.3336606718409888,0.95,0.9666666666666667
60,0.3387510352835554,0.95,0.9666666666666667
61,0.2874454504079652,0.9416666666666667,0.9666666666666667
62,0.3146216693485249,0.95,0.9666666666666667
63,0.2925294433608704,0.95,0.9666666666666667
64,0.29678828197167334,0.95,0.9666666666666667
65,0.39082553184151475,0.95,0.9666666666666667
66,0.2873279838642308,0.95,0.9666666666666667
67,0.2557168775716547,0.95,0.9666666666666667
68,0.30037194912573933,0.95,0.9666666666666667
69,0.30716046876545683,0.95,0.9666666666666667
70,0.22693747100577152,0.95,0.9666666666666667
71,0.345891452368197,0.95,0.9666666666666667
72,0.3430577676286146,0.95,0.9666666666666667
73,0.3699475774252771,0.95,0.9666666666666667
74,0.36930164901931856,0.95,0.9666666666666667
75,0.28630223107232255,0.95,0.9666666666666667
76,0.2854199259748151,0.95,0.9666666666666667
77,0.3296601794714148,0.95,0.9666666666666667
78,0.2775741435722887,0.95,0.9666666666666667
79,0.25309892056846406,0.95,0.9666666666666667
80,0.31416184452383533,0.95,0.9666666666666667
81,0.33406318710412164,0.95,0.9666666666666667
82,0.21975353145376342,0.9583333333333334,0.9666666666666667
83,0.2702313706985523,0.9583333333333334,0.9666666666666667
84,0.26590534628568646,0.9583333333333334,0.9666666666666667
85,0.3208407192198962,0.9583333333333334,0.9666666666666667
86,0.24683961304353624,0.9583333333333334,0.9666666666666667
87,0.23200552995571985,0.9583333333333334,0.9666666666666667
88,0.26070093403840144,0.9583333333333334,0.9666666666666667
89,0.30525156048585844,0.9583333333333334,0.9666666666666667
90,0.295600427717717,0.9583333333333334,0.9666666666666667
91,0.23121645977160027,0.9583333333333334,0.9666666666666667
92,0.29537702253999726,0.9583333333333334,0.9666666666666667
93,0.3210535575589566,0.9583333333333334,0.9666666666666667
94,0.25719158562889743,0.9583333333333334,0.9666666666666667
95,0.29660325300714113,0.9583333333333334,0.9666666666666667
96,0.29179419194944783,0.9583333333333334,0.9666666666666667
97,0.22139301086331933,0.9583333333333334,0.9666666666666667
98,0.27105854983825556,0.9666666666666667,0.9666666666666667
99,0.2669650363314261,0.975,0.9666666666666667
100,0.2746930248402216,0.975,0.9666666666666667
101,0.32127185277218995,0.975,0.9666666666666667
102,0.2738121402207638,0.975,0.9666666666666667
103,0.23744672247770365,0.9583333333333334,0.9666666666666667
104,0.25591922636512693,0.975,0.9666666666666667
105,0.22716339866523008,0.9583333333333334,0.9666666666666667
106,0.20255695867028417,0.9583333333333334,0.9666666666666667
107,0.2563697038274289,0.95,0.9666666666666667
108,0.2602663629940428,0.95,0.9666666666666667
109,0.26491676410835213,0.95,0.9666666666666667
110,0.22218166411501822,0.95,0.9666666666666667
111,0.2161339403797241,0.9583333333333334,0.9666666666666667
112,0.2836844749923638,0.975,0.9666666666666667
113,0.1867466371514009,0.9583333333333334,0.9666666666666667
114,0.25172013924636877,0.9666666666666667,0.9666666666666667
115,0.2229793230439678,0.975,0.9666666666666667
116,0.1991972084763541,0.975,0.9666666666666667
117,0.2631037290648127,0.975,0.9666666666666667
118,0.26607945904199876,0.975,0.9666666666666667
119,0.2705832690083535,0.9833333333333333,0.9666666666666667
120,0.2111331881192303,0.9833333333333333,0.9666666666666667
121,0.21354261648056205,0.975,0.9666666666666667
122,0.2741660317287681,0.9583333333333334,0.9666666666666667
123,0.22653685033022544,0.9583333333333334,0.9666666666666667
124,0.18251550027344338,0.9583333333333334,0.9666666666666667
125,0.2248688346895974,0.975,0.9666666666666667
126,0.23751221804302672,0.9833333333333333,0.9666666666666667
127,0.22059157165627746,0.9833333333333333,0.9666666666666667
128,0.21509732814434918,0.9833333333333333,0.9666666666666667
129,0.21816115759143187,0.9666666666666667,0.9666666666666667
130,0.21904916188619777,0.975,0.9666666666666667
131,0.27492264683134515,0.975,0.9666666666666667
132,0.2338496729955444,0.9583333333333334,0.9666666666666667
133,0.21883921879831028,0.9583333333333334,0.9666666666666667
134,0.20288623933397953,0.975,0.9666666666666667
135,0.24339556050523528,0.975,0.9666666666666667
136,0.22114623134964542,0.975,0.9666666666666667
137,0.26206759345001696,0.975,0.9666666666666667
138,0.19777719490176562,0.975,0.9666666666666667
139,0.238535212075074,0.975,0.9666666666666667
140,0.2370887943088795,0.9583333333333334,0.9666666666666667
141,0.19544507838526626,0.9666666666666667,0.9666666666666667
142,0.22355297213173833,0.9666666666666667,0.9666666666666667
143,0.1985680218444875,0.95,0.9666666666666667
144,0.1756292697028659,0.95,0.9666666666666667
145,0.23337347529864733,0.975,0.9666666666666667
146,0.21864391245254064,0.975,0.9666666666666667
147,0.18196315373082553,0.975,0.9666666666666667
148,0.17712826641379456,0.975,0.9666666666666667
149,0.19726694850000143,0.975,0.9666666666666667
150,0.22349541918452404,0.9833333333333333,0.9666666666666667
151,0.1610802781543489,0.9833333333333333,0.9666666666666667
152,0.161134438084138,0.975,0.9666666666666667
153,0.23154044964429127,0.975,0.9666666666666667
154,0.25978879677556477,0.9666666666666667,0.9666666666666667
155,0.17398958750288457,0.9666666666666667,0.9666666666666667
156,0.1716710212998252,0.9666666666666667,0.9666666666666667
157,0.24857409075561268,0.9666666666666667,0.9666666666666667
158,0.20509517614634387,0.95,0.9666666666666667
159,0.17956729918864936,0.95,0.9666666666666667
160,0.2391026398003472,0.95,0.9666666666666667
161,0.18906611540108462,0.95,0.9666666666666667
162,0.19869606845475957,0.95,0.9666666666666667
163,0.2364183111557616,0.9583333333333334,0.9666666666666667
164,0.15181565007201767,0.9666666666666667,0.9666666666666667
165,0.1803835768992911,0.9666666666666667,0.9666666666666667
166,0.20241419259717908,0.9666666666666667,0.9666666666666667
167,0.18938961194876935,0.9666666666666667,0.9666666666666667
168,0.20833906154361934,0.9833333333333333,0.9666666666666667
169,0.1810836100215847,0.9666666666666667,0.9666666666666667
170,0.165484756886538,0.9666666666666667,0.9666666666666667
171,0.20290338889172269,0.9583333333333334,0.9666666666666667
172,0.16688360504201183,0.9666666666666667,0.9666666666666667
173,0.20364035428561542,0.9666666666666667,0.9666666666666667
174,0.1192417035601818,0.9666666666666667,0.9666666666666667
175,0.21336317281898515,0.9666666666666667,0.9666666666666667
176,0.12458086882039252,0.9666666666666667,0.9666666666666667
177,0.19749602228210664,0.9666666666666667,0.9666666666666667
178,0.1462089768434711,0.9666666666666667,0.9666666666666667
179,0.22317266840940034,0.9666666666666667,0.9666666666666667
180,0.1847212978519713,0.9666666666666667,0.9666666666666667
181,0.16078251289899367,0.9666666666666667,0.9666666666666667
182,0.15547096548469433,0.9666666666666667,0.9666666666666667
183,0.1456204177269789,0.9666666666666667,0.9666666666666667
184,0.17911957586730815,0.9666666666666667,0.9666666666666667
185,0.17839748470792832,0.9666666666666667,0.9666666666666667
186,0.16650737625736178,0.9666666666666667,0.9666666666666667
187,0.20896765983950688,0.9666666666666667,0.9666666666666667
188,0.1594537782461428,0.9666666666666667,0.9666666666666667
189,0.17676827184324484,0.9666666666666667,0.9666666666666667
190,0.22569507261923732,0.9666666666666667,0.9666666666666667
191,0.18334609342038513,0.9666666666666667,0.9666666666666667
192,0.1561576976626045,0.975,0.9666666666666667
193,0.14437854527714525,0.975,0.9666666666666667
194,0.142676234342627,0.9833333333333333,0.9666666666666667
195,0.1592839772818252,0.9833333333333333,0.9666666666666667
196,0.1477060064766779,0.975,0.9666666666666667
197,0.20344245630243282,0.975,0.9666666666666667
198,0.19976348008172626,0.9833333333333333,0.9666666666666667
199,0.17011785398593612,0.9833333333333333,0.9666666666666667
200,0.227138873889276,0.975,0.9666666666666667
201,0.19318679048465615,0.9833333333333333,0.9666666666666667
202,0.18024727166210897,0.975,0.9666666666666667
203,0.15149776185865482,0.975,0.9666666666666667
204,0.20251031124497854,0.9833333333333333,0.9666666666666667
205,0.14890440874042052,0.9833333333333333,0.9666666666666667
206,0.16351836959573693,0.9833333333333333,0.9666666666666667
